"State","Facility Name","Facility ID","Date","Hour","Gross Load (MW)","Steam Load (1000 lb/hr)","SO2 Mass (lbs)","CO2 Mass (short tons)","NOx Mass (lbs)","Heat Input (mmBtu)"
"MA","Pittsfield Generating",50002,"2025-03-25",6,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-25",7,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-25",8,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-25",9,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-25",10,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-25",11,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-25",12,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-25",13,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-25",14,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-25",15,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-25",16,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-25",17,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-25",18,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-25",19,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-25",20,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-25",21,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-25",22,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-25",23,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-26",0,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-26",1,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-26",2,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-26",3,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-26",4,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-26",5,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-26",6,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-26",7,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-26",8,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-26",9,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-26",10,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-26",11,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-26",12,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-26",13,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-26",14,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-26",15,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-26",16,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-26",17,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-26",18,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-26",19,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-26",20,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-26",21,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-26",22,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-26",23,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-27",0,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-27",1,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-27",2,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-27",3,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-27",4,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-27",5,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-27",6,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-27",7,,,,,,
"MA","Pittsfield Generating",50002,"2025-03-27",8,,,,,,
